host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,summary_sent,description_sent,property_type_Bed & Breakfast,property_type_Boat,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Dorm,property_type_House,property_type_Loft,property_type_Other,property_type_Tent,property_type_Townhouse,property_type_Treehouse,property_type_Yurt,room_type_Private room,room_type_Shared room,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,0.0,1.0,80.0,200.0,50.0,2,10.0,1,365,0,275,92,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.54375,0.32047258297258296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,99.0,200.0,50.0,2,50.0,2,31,30,362,67,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.34,0.212131734006734,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,2.0,1.0,1.0,1,2.0,1.0,1.0,159.0,100.0,80.0,2,25.0,2,730,0,275,14,10.0,10.0,10.0,10.0,9.0,9.0,0,0,0.030000000000000006,0.17301587301587304,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,3.0,3.0,190.0,500.0,125.0,8,0.0,3,90,30,365,11,10.0,10.0,10.0,10.0,9.0,9.0,1,0,0.2694805194805195,0.32479797979797986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,89.0,175.0,50.0,2,15.0,1,1125,1,125,134,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.21666666666666667,0.3899047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,120.0,200.0,75.0,1,0.0,5,30,11,346,18,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0.325,0.35556186868686873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,3.0,1.0,1.0,1,1.5,1.0,1.0,89.0,250.0,50.0,1,0.0,1,14,13,340,474,10.0,10.0,10.0,10.0,9.0,9.0,0,1,0.0,0.06404761904761905,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,1.0,1.0,1.0,1,1.0,1.0,2.0,169.0,250.0,108.0,4,25.0,2,365,30,216,78,9.0,9.0,9.0,9.0,10.0,9.0,1,0,0.0,0.18333333333333335,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,3.0,1.0,1.0,1,4.5,1.0,4.0,65.0,200.0,35.0,2,25.0,2,360,30,365,22,9.0,9.0,10.0,10.0,9.0,9.0,1,1,0.17857142857142858,0.3781670084301663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,99.0,125.0,60.0,2,25.0,2,14,21,353,179,10.0,10.0,10.0,10.0,9.0,10.0,0,1,0.43666666666666665,0.30600233100233104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97.0,100.0,0.0,7.0,1.0,1.0,1,1.5,1.0,1.0,87.0,250.0,40.0,1,0.0,1,90,30,365,19,10.0,9.0,10.0,10.0,10.0,10.0,0,0,0.17321428571428574,0.23758271490414345,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
100.0,100.0,0.0,4.0,1.0,1.0,1,2.0,2.0,4.0,200.0,100.0,105.0,1,0.0,2,365,11,330,47,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0.0,0.2852603305785124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,90.0,150.0,50.0,2,15.0,1,365,30,173,115,10.0,10.0,10.0,10.0,10.0,10.0,0,0,-0.01190476190476191,0.1281230158730159,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
100.0,100.0,0.0,4.0,1.0,1.0,1,1.0,1.0,1.0,149.0,100.0,88.0,1,0.0,1,365,0,335,27,9.0,10.0,10.0,9.0,10.0,9.0,0,0,0.0,0.25806883116883117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100.0,100.0,0.0,5.0,1.0,1.0,1,3.0,1.0,1.0,70.0,150.0,10.0,1,0.0,2,30,29,364,48,9.0,9.0,9.0,10.0,9.0,9.0,0,1,0.07037037037037037,0.20116905663780665,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
100.0,100.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,120.0,200.0,55.0,2,10.0,2,120,0,320,131,10.0,10.0,10.0,10.0,9.0,10.0,1,0,0.30785714285714283,0.26777843368752463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
